상호명,업종,분류,행정동명,지번주소,경도,위도
담안한우촌,한식,소고기 구이/찜,중앙동,경상남도 창원시 성산구 중앙동 100-2,128.6763992,35.22065277
등나무집,한식,백반/한정식,내서읍,경상남도 창원시 마산회원구 내서읍 삼계리 502-3,128.4934733,35.23198406
쿄다이,한식,횟집,합성동,경상남도 창원시 마산회원구 합성동 269-7,128.5838623,35.23726979
메밀국수향기,한식,국수/칼국수,양덕동,경상남도 창원시 마산회원구 양덕동 150-21,128.5870959,35.22248892
비스트로56,서양식,경양식,사파동,경상남도 창원시 성산구 사파동 112-19,128.69701,35.22107671
바른터파스타공방가로수길점,서양식,파스타/스테이크,용호동,경상남도 창원시 성산구 용호동 29-15,128.6834134,35.23708218
사해방진해,중식,중국집,남문동,경상남도 창원시 진해구 남문동 1251-2,128.752884,35.10498212
김해복집,한식,복 요리 전문,석전동,경상남도 창원시 마산회원구 석전동 262-1,128.5735638,35.22893584
행복한두부,한식,백반/한정식,석동,경상남도 창원시 진해구 석동 644-4,128.7054678,35.15623388
참치중매인,일식,일식 회/초밥,서상동,경상남도 창원시 의창구 서상동 309,128.6209358,35.26222569
명진식당,한식,횟집,명서동,경상남도 창원시 의창구 명서동 79-1,128.6441447,35.24800631
처갓집양념치킨,기타 간이,치킨,상남동,경상남도 창원시 성산구 상남동 77-2,128.6818024,35.22312839
엠제이,서양식,경양식,구산면,경상남도 창원시 마산합포구 구산면 구복리 226-3,128.5646264,35.07714993
서복례김밥앤롤,기타 간이,김밥/만두/분식,중앙동3가,경상남도 창원시 마산합포구 중앙동3가 4-337,128.5677479,35.19833296
토박이,한식,백반/한정식,안골동,경상남도 창원시 진해구 안골동 826-6,128.7898931,35.09242418
마산조개창고,한식,해산물 구이/찜,봉암동,경상남도 창원시 마산회원구 봉암동 461-12,128.5965314,35.22091039
엠지,한식,백반/한정식,해운동,경상남도 창원시 마산합포구 해운동 5-95,128.5593154,35.17931606
술마실래,한식,백반/한정식,중성동,경상남도 창원시 마산합포구 중성동 97,128.57622,35.20683843
산에들비빔밥,한식,백반/한정식,내서읍,경상남도 창원시 마산회원구 내서읍 상곡리 172-2,128.4991993,35.2466898
부영장어회센터,한식,백반/한정식,월영동,경상남도 창원시 마산합포구 월영동 614-17,128.5617796,35.17523021
경창마산집,한식,백반/한정식,상남동,경상남도 창원시 성산구 상남동 73-5,128.6793501,35.22017653
빌라그린,서양식,경양식,상남동,경상남도 창원시 성산구 상남동 26-4,128.6812596,35.22127454
